国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200018908,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７７,文政１２,1829,3,冊,2,Portrait,ぶんせいぶかん,bunseibukan,334,False
200018909,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７８,文政１３,1830,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,524,False
200018914,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１７９,天保２,1831,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,527,False
200018915,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８０,天保３,1832,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,525,False
200018917,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８１,天保３,1832,4,冊,2,Portrait,てんぽうぶかん,tenpōbukan,524,False
200018921,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８２,天保４,1833,4,冊,2,Portrait,てんぽうぶかん,tenpōbukan,523,False
200018923,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８３,天保５,1834,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,525,False
200018925,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８４,天保６,1835,4,冊,2,Portrait,てんぽうぶかん,tenpōbukan,524,False
200018930,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１８５,天保７,1836,4,冊,2,Portrait,たいせいぶかん,taiseibukan,607,False
200018931,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８６,天保８,1837,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,534,False
200018933,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８７,天保９,1838,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,542,False
200018934,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８８,天保１０,1839,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,546,False
200018936,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１８９,天保１２,1841,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,548,False
200018937,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１９０,天保１２,1841,2,冊,2,Portrait,てんぽうぶかん,tenpōbukan,326,False
200018938,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１９１,天保１２,1841,2,冊,2,Portrait,てんぽうぶかん,tenpōbukan,228,True
200018940,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１９２,天保１３,1842,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,550,False
200018941,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１９３,天保１４,1843,1,冊,2,Portrait,てんぽうぶかん,tenpōbukan,553,False
200018942,H29.12,政治・法制,天保武鑑,刊,ＭＹ－１２０１－１９４,天保１５,1844,4,冊,2,Portrait,てんぽうぶかん,tenpōbukan,548,False
200018959,H29.12,政治・法制,弘化武鑑,刊,ＭＹ－１２０１－１９５,弘化２,1845,1,冊,2,Portrait,こうかぶかん,kōkabukan,547,False
200018961,H29.12,政治・法制,弘化武鑑,刊,ＭＹ－１２０１－１９６,弘化３,1846,4,冊,2,Portrait,こうかぶかん,kōkabukan,548,False
200018966,H29.12,政治・法制,弘化武鑑,刊,ＭＹ－１２０１－１９７,弘化４,1847,4,冊,2,Portrait,こうかぶかん,kōkabukan,545,False
200018967,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１９８,弘化５,1848,1,冊,2,Portrait,たいせいぶかん,taiseibukan,618,False
200018969,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１９９,嘉永２,1849,1,冊,2,Portrait,たいせいぶかん,taiseibukan,620,False
200018981,H29.12,政治・法制,嘉永武鑑,刊,ＭＹ－１２０１－２００,嘉永３,1850,4,冊,2,Portrait,かえいぶかん,kaeibukan,548,False
200018982,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０１,嘉永３,1850,1,冊,2,Portrait,たいせいぶかん,taiseibukan,623,False
200018983,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０２,嘉永４,1851,1,冊,2,Portrait,たいせいぶかん,taiseibukan,643,False
200018984,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０３,嘉永５,1852,1,冊,2,Portrait,たいせいぶかん,taiseibukan,648,False
200018993,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０４,嘉永６,1853,1,冊,2,Portrait,たいせいぶかん,taiseibukan,651,False
200019270,H29.12,政治・法制,大成武鑑,刊,９６－２３０－１～４,天保９,1838,4,冊,2,Portrait,たいせいぶかん,taiseibukan,616,False
200019336,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０５,嘉永７,1854,1,冊,2,Portrait,たいせいぶかん,taiseibukan,647,False
200019340,H29.12,政治・法制,安政武鑑,刊,ＭＹ－１２０１－２０６,安政２,1855,1,冊,2,Portrait,あんせいぶかん,anseibukan,553,False
200019345,H29.12,政治・法制,安政武鑑,刊,ＭＹ－１２０１－２０７,安政３,1856,4,冊,2,Portrait,あんせいぶかん,anseibukan,551,False
200019347,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２０８,安政４,1857,1,冊,2,Portrait,たいせいぶかん,taiseibukan,645,False
200019348,H29.12,政治・法制,安政武鑑,刊,ＭＹ－１２０１－２０９,安政５,1858,1,冊,2,Portrait,あんせいぶかん,anseibukan,563,False
200019349,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１０,安政６,1859,1,冊,2,Portrait,たいせいぶかん,taiseibukan,645,False
200019353,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－２１１,万延１,1860,1,冊,2,Portrait,たいせいぶかん,taiseibukan,644,False
200019354,H29.12,政治・法制,文久武鑑,刊,ＭＹ－１２０１－２１２,文久１,1861,5,冊,2,Portrait,ぶんきゅうぶかん,bunkyūbukan,573,False
