国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200018931,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８６,天保８,1837,1,冊,2,Portrait,534
200018933,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８７,天保９,1838,1,冊,2,Portrait,542
200018934,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８８,天保１０,1839,1,冊,2,Portrait,546
200018936,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８９,天保１２,1841,1,冊,2,Portrait,548
200018937,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１９０,天保１２,1841,2,冊,2,Portrait,326
200018938,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１９１,［天保１２］,[1841],2,冊,2,Portrait,228
200018940,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１９２,天保１３,1842,1,冊,2,Portrait,550
200018941,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１９３,天保１４,1843,1,冊,2,Portrait,553
200018942,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１９４,天保１５,1844,4,冊,2,Portrait,548
200018959,H29.12,政治・法制,弘化武鑑,こうかぶかん,kōkabukan,刊,ＭＹ－１２０１－１９５,弘化２,1845,1,冊,2,Portrait,547
200018961,H29.12,政治・法制,弘化武鑑,こうかぶかん,kōkabukan,刊,ＭＹ－１２０１－１９６,弘化３,1846,4,冊,2,Portrait,548
200018966,H29.12,政治・法制,弘化武鑑,こうかぶかん,kōkabukan,刊,ＭＹ－１２０１－１９７,弘化４,1847,4,冊,2,Portrait,545
200018967,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１９８,弘化５,1848,1,冊,2,Portrait,618
200018969,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１９９,嘉永２,1849,1,冊,2,Portrait,620
200018982,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０１,嘉永３,1850,1,冊,2,Portrait,623
200018983,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０２,嘉永４,1851,1,冊,2,Portrait,643
200018984,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０３,嘉永５,1852,1,冊,2,Portrait,648
200018993,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０４,嘉永６,1853,1,冊,2,Portrait,651
200019270,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,９６－２３０－１～４,天保９,1838,4,冊,2,Portrait,616
200019336,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０５,嘉永７,1854,1,冊,2,Portrait,647
200019340,H29.12,政治・法制,安政武鑑,あんせいぶかん,anseibukan,刊,ＭＹ－１２０１－２０６,安政２,1855,1,冊,2,Portrait,553
200019345,H29.12,政治・法制,安政武鑑,あんせいぶかん,anseibukan,刊,ＭＹ－１２０１－２０７,安政３,1856,4,冊,2,Portrait,551
200019347,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２０８,安政４,1857,1,冊,2,Portrait,645
200019348,H29.12,政治・法制,安政武鑑,あんせいぶかん,anseibukan,刊,ＭＹ－１２０１－２０９,安政５,1858,1,冊,2,Portrait,563
200019349,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１０,安政６,1859,1,冊,2,Portrait,645
200019353,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１１,万延１,1860,1,冊,2,Portrait,644
200019354,H29.12,政治・法制,文久武鑑,ぶんきゅうぶかん,bunkyūbukan,刊,ＭＹ－１２０１－２１２,文久１,1861,5,冊,2,Portrait,573
200019356,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１３,文久２,1862,1,冊,2,Portrait,649
200019358,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１４,文久３,1863,5,冊,2,Portrait,648
200019369,H29.12,政治・法制,文久武鑑,ぶんきゅうぶかん,bunkyūbukan,刊,ＭＹ－１２０１－２１５,文久４,1864,5,冊,2,Portrait,579
200019370,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１６,元治２,1865,5,冊,2,Portrait,666
200019371,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１７,慶応１,1865,1,冊,2,Portrait,663
200019373,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－２１８,慶応２,1866,1,冊,2,Portrait,665
